ID,Name,Position,Team,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,fanPts,timeOnIce_W,assists_W,goals_W,pim_W,shots_W,games_W,hits_W,powerPlayGoals_W,powerPlayPoints_W,powerPlayTimeOnIce_W,evenTimeOnIce_W,penaltyMinutes_W,faceOffPct_W,shotPct_W,gameWinningGoals_W,overTimeGoals_W,shortHandedGoals_W,shortHandedPoints_W,shortHandedTimeOnIce_W,blocked_W,plusMinus_W,points_W,shifts_W,fanPts_W,upcomingDifficulty,truth
8476462,Dougie Hamilton,D,NJD,40969,14,7,22,116,32,45,2,7,4681,35008,22,0,1.5626886797137558,0,0,0,0,1280,50,-7,21,801,325,2431,1,0,0,8,2,7,0,0,236,2124,0,0,0.0,0,0,0,0,71,3,2,1,47,26,1325.6643000000001,0
8476462,Dougie Hamilton,D,NJD,45850,15,9,24,127,36,49,2,8,5152,39414,24,0,18.310168042482108,1,1,0,0,1284,52,-4,24,897,376,4881,1,2,2,11,4,4,0,1,471,4406,2,0,18.2125,1,1,0,0,4,2,3,3,96,51,1037.3117,0
8476918,Jimmy Vesey,L,NJD,773,0,0,0,0,1,1,0,0,0,653,0,0.0,0.0,0,0,0,0,120,1,0,0,20,2,773,0,0,0,0,1,1,0,0,0,653,0,0.0,0.0,0,0,0,0,120,1,0,0,20,2,1039.0754000000002,0
8476918,Jimmy Vesey,L,NJD,3444,0,1,0,6,4,8,0,0,0,3046,0,25.0,12.5,1,0,0,0,398,1,0,1,87,31,2671,0,1,0,6,3,7,0,0,0,2393,0,25.0,12.5,1,0,0,0,278,0,0,1,67,29,950.7837,0
8476918,Jimmy Vesey,L,NJD,6162,0,2,0,19,7,11,0,0,49,5330,0,12.5,5.7375,1,0,1,1,783,7,0,2,152,69,2718,0,1,0,13,3,3,0,0,49,2284,0,0.0,4.175,0,0,1,1,385,6,0,1,65,38,911.6990000000001,0
8476918,Jimmy Vesey,L,NJD,8984,0,2,0,22,10,15,0,0,57,7434,0,12.5,0.7171875,1,0,1,1,1493,10,0,2,222,79,2822,0,0,0,3,3,4,0,0,8,2104,0,0,0.0,0,0,0,0,710,3,0,0,70,10,1303.6351000000002,0
8476918,Jimmy Vesey,L,NJD,12256,1,3,2,25,14,20,0,0,72,10276,2,15.625,25.179296875,1,0,1,1,1908,11,-1,4,307,96,3272,1,1,2,3,4,5,0,0,15,2842,2,12.5,25.0,0,0,0,0,415,1,-1,2,85,17,623.6758,0
8476918,Jimmy Vesey,L,NJD,13919,2,4,2,29,16,25,0,0,106,11561,2,24.4775,25.0896484375,1,0,1,1,2252,11,1,6,348,119,1663,1,1,0,4,2,5,0,0,34,1285,0,16.665,12.5,0,0,0,0,344,0,2,2,41,23,1043.913,0
8476918,Jimmy Vesey,L,NJD,17183,2,4,4,32,19,27,0,0,549,14004,4,12.23875,12.54482421875,1,0,1,1,2630,12,-4,6,420,115,3264,0,0,2,3,3,2,0,0,443,2443,2,0.0,0.0,0,0,0,0,378,1,-5,0,72,-4,974.6779,0
8476918,Jimmy Vesey,L,NJD,19799,2,4,4,38,22,33,0,0,771,15782,4,6.119375,1.56810302734375,1,0,1,1,3246,12,-8,6,484,119,2616,0,0,0,6,3,6,0,0,222,1778,0,0.0,0.0,0,0,0,0,616,0,-4,0,64,4,1345.8072000000002,0
8476918,Jimmy Vesey,L,NJD,22943,2,4,4,44,26,38,0,0,771,18528,4,28.0596875,0.09800643920898437,1,0,1,1,3644,14,-8,6,551,132,3144,0,0,0,6,4,5,0,0,0,2746,0,25.0,0.0,0,0,0,0,398,2,0,0,67,13,1307.2256,0
8476918,Jimmy Vesey,L,NJD,26666,3,5,6,49,30,45,0,0,813,21785,6,20.50373046875,12.50612540245056,1,0,2,2,4068,17,-9,8,633,165,3723,1,1,2,5,4,7,0,0,42,3257,2,18.75,12.5,0,0,1,1,424,3,-1,2,82,33,982.8959,0
8476918,Jimmy Vesey,L,NJD,28860,4,6,6,52,32,46,0,0,903,23569,6,10.251865234375,28.12653135061264,1,0,2,2,4388,17,-9,10,685,179,2194,1,1,0,3,2,1,0,0,90,1784,0,0.0,25.0,0,0,0,0,320,0,0,2,52,14,288.3466,0
8476918,Jimmy Vesey,L,NJD,29807,4,6,6,54,33,47,0,0,1008,24173,6,10.251865234375,14.06326567530632,1,0,2,2,4626,17,-9,10,705,182,947,0,0,0,2,1,1,0,0,105,604,0,0,0.0,0,0,0,0,238,0,0,0,20,3,1038.5316,0
8476918,Jimmy Vesey,L,NJD,32376,4,6,6,59,36,55,0,0,1008,26477,6,10.251865234375,3.51581641882658,1,0,2,2,4891,19,-9,10,765,197,2569,0,0,0,5,3,8,0,0,0,2304,0,0,0.0,0,0,0,0,265,2,0,0,60,15,934.7908,0
8476918,Jimmy Vesey,L,NJD,34579,5,6,6,61,39,65,0,0,1008,28478,6,10.251865234375,0.878954104706645,1,0,2,2,5093,19,-10,11,817,211,2203,1,0,0,2,3,10,0,0,0,2001,0,0,0.0,0,0,0,0,202,0,-1,1,52,14,613.393,0
8476918,Jimmy Vesey,L,NJD,36274,5,6,6,68,41,68,0,0,1008,29874,6,10.251865234375,0.21973852617666126,1,0,2,2,5392,19,-13,11,857,215,1695,0,0,0,7,2,3,0,0,0,1396,0,0,0.0,0,0,0,0,299,0,-3,0,40,4,1274.2132000000001,0
8476918,Jimmy Vesey,L,NJD,40084,6,7,6,77,45,71,0,0,1017,33176,6,52.56296630859375,25.013733657886043,2,0,2,2,5891,22,-14,13,947,248,3810,1,1,0,9,4,3,0,0,9,3302,0,50.0,25.0,1,0,0,0,499,3,-1,2,90,33,338.1884,0
8476918,Jimmy Vesey,L,NJD,40832,6,7,6,77,46,71,0,0,1017,33884,6,26.281483154296875,25.013733657886043,2,0,2,2,5931,22,-16,13,964,244,748,0,0,0,0,1,0,0,0,0,708,0,0.0,0.0,0,0,0,0,40,0,-2,0,17,-4,604.0758000000001,0
8476918,Jimmy Vesey,L,NJD,42246,6,7,6,79,48,72,0,0,1017,34962,6,56.570370788574216,12.506866828943021,2,0,2,2,6267,22,-15,13,1003,249,1414,0,0,0,2,2,1,0,0,0,1078,0,50.0,0.0,0,0,0,0,336,0,1,0,39,5,1325.6643000000001,0
8476918,Jimmy Vesey,L,NJD,45396,7,7,8,83,52,75,0,0,1041,37719,8,38.32129634857178,1.5633583536178777,2,0,2,2,6636,23,-16,14,1082,259,3150,1,0,2,4,4,3,0,0,24,2757,2,31.25,0.0,0,0,0,0,369,1,-1,1,79,10,1037.3117,0
8476923,Damon Severson,D,NJD,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1039.0754000000002,0
8476923,Damon Severson,D,NJD,3551,2,1,4,5,3,2,0,1,226,2959,4,0,6.25,0,0,0,0,366,5,3,3,74,34,3551,2,1,4,5,3,2,0,1,226,2959,4,0,6.25,0,0,0,0,366,5,3,3,74,34,950.7837,0
8476923,Damon Severson,D,NJD,7413,2,1,4,11,6,6,0,1,398,6064,4,0,0.78125,0,0,0,0,951,10,0,3,150,43,3862,0,0,0,6,3,4,0,0,172,3105,0,0,0.0,0,0,0,0,585,5,-3,0,76,9,911.6990000000001,0
8476923,Damon Severson,D,NJD,11497,2,1,12,17,9,9,0,1,949,8833,12,0,0.09765625,0,0,0,0,1715,21,1,3,229,65,4084,0,0,8,6,3,3,0,0,551,2769,8,0,0.0,0,0,0,0,764,11,1,0,79,22,1303.6351000000002,0
