,ID,Name,Position,Team,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,fanPts,timeOnIce_W,assists_W,goals_W,pim_W,shots_W,games_W,hits_W,powerPlayGoals_W,powerPlayPoints_W,powerPlayTimeOnIce_W,evenTimeOnIce_W,penaltyMinutes_W,faceOffPct_W,shotPct_W,gameWinningGoals_W,overTimeGoals_W,shortHandedGoals_W,shortHandedPoints_W,shortHandedTimeOnIce_W,blocked_W,plusMinus_W,points_W,shifts_W,fanPts_W,upcomingDifficulty
501,8479368,Max Jones,L,ANA,1188,0,0,15,2,2,2,0,0,1,1059,15,25.0,0.0,0,0,0,0,128,0,-1,0,29,2,707,0,0,0,1,1,0,0,0,0,620,0,25.0,0.0,0,0,0,0,87,0,-1,0,15,-1,1339.9861999999998
502,8470612,Ryan Getzlaf,C,ANA,52952,28,3,21,93,47,77,2,10,7518,43317,21,38.646087488103554,0.19937751591205596,1,0,0,0,2117,47,-12,31,1073,369,2295,3,0,0,5,2,1,0,2,288,2003,0,26.677500000000002,0.0,0,0,0,0,4,1,0,3,47,23,1041.5328
503,8474031,Kevin Shattenkirk,D,ANA,72947,20,7,24,114,58,44,1,13,7074,58067,24,0.0,0.003063725674579132,1,0,0,0,7806,90,-4,27,1450,406,3971,1,0,4,6,3,6,0,1,432,3122,4,0,0.0,0,0,0,0,417,4,-4,1,82,14,1041.5328
504,8474641,Adam Henrique,C,ANA,36279,14,11,6,92,36,17,4,7,4619,31320,6,68.68317286083243,23.690676191309464,0,0,0,0,340,29,3,25,786,312,3104,1,2,0,7,3,3,0,0,298,2797,0,60.995000000000005,20.825,0,0,0,0,9,3,2,3,69,33,1041.5328
505,8474683,Derek Grant,C,ANA,41692,7,8,25,77,50,46,2,2,856,33281,25,71.98542144761943,6.367326088249683,1,0,1,2,7555,31,-12,15,1003,246,2085,1,0,2,4,3,2,0,0,9,1599,2,68.30375000000001,0.0,0,0,0,0,477,0,-3,1,50,4,1041.5328
506,8475164,Jakob Silfverberg,R,ANA,53411,16,4,30,118,52,16,1,5,5454,41177,30,2.8704388427734377,12.504255676270668,0,0,0,0,6780,40,-3,20,1244,274,2816,1,1,0,7,3,2,0,0,367,2040,0,0.0,12.5,0,0,0,0,409,1,-3,2,75,14,1041.5328
507,8475235,Nicolas Deslauriers,L,ANA,38528,5,5,71,68,55,196,0,0,121,34003,71,12.5,25.78735351708019,0,0,1,1,4404,33,-6,10,895,345,1802,0,1,0,4,3,11,0,0,0,1415,0,0,25.0,0,0,0,0,387,3,-2,1,49,20,1041.5328
508,8475764,Cam Fowler,D,ANA,78082,25,6,10,91,54,26,5,15,6947,61821,10,0.0,0.012337096803275927,0,0,0,0,9314,83,-4,31,1482,398,4304,5,0,0,4,3,1,0,1,487,3171,0,0,0.0,0,0,0,0,646,6,1,5,81,35,1041.5328
509,8475842,Sam Carrick,C,ANA,29837,7,9,61,61,45,80,0,0,355,27632,61,43.79611817580741,0.7881002380046993,0,0,0,0,1850,12,-2,16,706,231,1418,0,0,10,1,3,8,0,0,4,1250,10,37.49875,0.0,0,0,0,0,164,0,-2,0,39,5,1041.5328
510,8476483,Rickard Rakell,L,ANA,52606,12,16,8,131,48,55,5,9,7194,45333,8,24.216089883334934,17.97421875858605,1,1,0,0,79,31,-4,28,1053,421,3220,1,2,4,8,3,1,1,2,570,2643,4,20.0,16.25,1,1,0,0,7,0,1,3,72,49,1041.5328
